Container has 1000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
31. "WVujkR XYXaKD8", Hash=84.1429; Shift: 10; Result: "]Y’©≠IÄaeaÖ-‡"
32. "p98ysDcZOy6Hozq W", Hash=88.7647; Shift: 1; Result: "‡rpÚÊà∆¥ûÚlêﬁÙ‚@Æ"
33. "b8qnKNYs", Hash=91.75; Replacements: 15 (s-103 C-190 o-97 X-22 e-28 B-138 I-62 a-99 U-148 k-178 8-137 x-72 l-166 2-46 F-49); Result: [98 137 113 110 75 78 89 103]
34. "sZ", Hash=102.5; Replacements: 6 (q-6 2-j M-a b-t 8-7 y-x); Result: "sZ"
35. "720gjzNAfMuSpAgS", Hash=85.5625; Replacements: 5 (H-  r-2 T-5 k-T t-R); Result: "720gjzNAfMuSpAgS"
36. "Zaz0ije32XvBZe", Hash=88.0714; Shift: 8; Result: "Zaz0ije32XvBZe"
37. "zrCS", Hash=96.5; Replacements: 10 (q-231 Y-218 O-155 4-246 C-189 R-244 H-136 S-76 d-95 s-31); Result: [122 114 189 76]
38. "oO38Fb5yM7", Hash=77.1; Replacements: 4 (a-162 S-204 l-94 U-68); Result: [111 79 51 56 70 98 53 121 77 55]
39. "r2fJ0U", Hash=78.8333; Replacements: 17 (H-144 v-208 X-139 6-39 c-226 R-56 N-160 y-156 U-235 V-224 s-95 x-80 3-178 p-94 n-180 O-163 b-68); Result: [114 50 102 74 48 235]
40. "xSS3gpQxyed7161FUek", Hash=86.5789; Replacements: 7 (r-152 h-117 m-62 3-58 M-105 A-4 P-18); Result: [120 83 83 58 103 112 81 120 121 101 100 55 49 54 49 70 85 101 107]
41. "63vGqz1i45h", Hash=81.0909; Replacements: 17 (a-S i-6 r-a y-n Y-F 3-f b-m 8-1 k-P O-t 5-y n-L o-s M-4 p-D 2-N I-9); Result: "6fvGqz164yh"
42. "Vz8ds942Mv2", Hash=80.2727; Replacements: 10 (d-F  -H v-8 J-C p-5 6-E r-  a-T 7-U M-7); Result: "Vz8Fs942782"
43. "Rz01WqAV9", Hash=78.7778; Replacements: 11 (J-G Z-2  -C E-t 1-m x-u I-v i-X e-U W-Q z- ); Result: "R 0mQqAV9"
44. "9Lnz", Hash=91.25; Shift: 3; Result: "…bs”"
45. "x1nHVoYmYYruyMqG6q0", Hash=92.2105; Shift: 8; Result: "x1nHVoYmYYruyMqG6q0"
46. "u", Hash=117; Replacements: 0 (); Result: [117]
47. "eiIFpVRfxi", Hash=95.6; Replacements: 0 (); Result: [101 105 73 70 112 86 82 102 120 105]
48. "gc  DUlF2aLBTXundg", Hash=82.6667; Replacements: 9 (1-c u-z K-y X-G E-0 7-E S-J d-K v-1); Result: "gc  DUlF2aLBTGznKg"
49. "MQMI9Ciz27qmAAB", Hash=78.8; Replacements: 18 (L-9 P-8 M-R c-2 m-u K-A T-V 5-5 s-F R-S z-l 6-3 g-p x-Q N-O 8-w h-n i- ); Result: "RQRI9C l27quAAB"
50. "fga5qiiJW1 QPy", Hash=85.8571; Replacements: 20 (Y-t v-f 4-i L-D r-v F-O l-u H-W N-o 8-E 5-Z U-R 9-r n-d G-T K-5 x-7 b-2 T-F I-h); Result: "fgaZqiiJW1 QPy"
51. "", Hash=0; Replacements: 6 (o-Q t-5 v-c K-Z a-K b-b); Result: ""
52. "kDgg6q6Jyu9EQ5U5C", Hash=81.1176; Shift: 8; Result: "kDgg6q6Jyu9EQ5U5C"
53. "YwBFi8MllIJdGOgQq0Dn", Hash=85.9; Replacements: 13 ( -j D-B W-M L-  s-8 g-0 H-P 8-z A-g v-A m-a B-I E-q); Result: "YwIFizMllIJdGO0Qq0Bn"
54. "L0", Hash=62; Replacements: 1 (r-138); Result: [76 48]
55. "u9Sq", Hash=92.5; Shift: 17; Result: "Ír¶‚"
56. "t", Hash=116; Shift: 17; Result: "Ë"
57. "", Hash=0; Shift: 20; Result: ""
58. "c5j8G14ADytx8XXb3a74", Hash=78.05; Shift: 11; Result: "©S¡:â°
"À£√¡¬¬ôπ°"
59. "XG5Alk", Hash=82; Replacements: 14 (9-q v-B 0-9 i-h p-N e-A A-p K-y G-d O-j k-b a-W z-e j-4); Result: "Xd5plb"
60. "UFhvgzuk", Hash=103.25; Replacements: 4 (U-192 M-74 X-224 8-77); Result: [192 70 104 118 103 122 117 107]
61. "fFEevhGzZ3rmyHt0V", Hash=92; Shift: 10; Result: "ôïŸ°ÈiÃ…µÂ!—¿Y"
62. "CtnzEsMk5x", Hash=95.6; Replacements: 19 (f-36 T-180  -88 J-83 u-104 y-232 H-223 3-193 c-91 m-85 l-48 O-136 e-19 L-4 p-235 w-148 d-15 v-70 U-245); Result: [67 116 110 122 69 115 77 107 53 120]
63. "i7Otr1dsNicIF8", Hash=86.7143; Replacements: 2 (x-x h-B); Result: "i7Otr1dsNicIF8"
64. "j", Hash=106; Shift: 13; Result: "M"
65. "RAFd53rPR", Hash=77.4444; Replacements: 19 (i-206 q-192 s-49 n-230 V-170 b-84 Z-124 A-21 K-175 R-65 J-158 B-202 f-129 0-87 6-45 C-20 8-248 9-247 c-179); Result: [65 21 70 100 53 51 114 80 65]
66. "7sHAqINVMptfGf0iq", Hash=88.4118; Shift: 18; Result: "‹Õ!≈%9Y5¡—ôô¿•≈"
67. "", Hash=0; Replacements: 13 (G-X g-s A-m X-u K-M 9-w t-q 4-2 Z-v D-x c-W M-Q Q-8); Result: ""
68. "W KY GhKL ytRKrUFg", Hash=79.9444; Shift: 8; Result: "W KY GhKL ytRKrUFg"
69. "WKh4lP9rCQihEYCT5u1", Hash=82.2105; Shift: 3; Result: "∫ZC°cÇ…ìäKC* ¢©´â"
70. "kF0PqEkskF", Hash=88.6; Replacements: 3 (t-139 P-82 E-150); Result: [107 70 48 82 113 150 107 115 107 70]
71. "rTN", Hash=92; Replacements: 20 (M-P W-F n-K U-C K-n o-N G-T 6-o p-I 4-E I-8 V-X g-  m-i f-W t-H l-9 a-V 7-y v-x); Result: "rTN"
72. "Lyt2R3Q9o", Hash=82.7778; Replacements: 14 (S-d 5-D I-V  -I p-Y 0-F N-e T-p D-S H-q i-9 K-v w-0 4-8); Result: "Lyt2R3Q9o"
73. "oiywI05D2 Gr0ylaDl", Hash=84.1667; Shift: 1; Result: "ﬁ“ÚÓí`jàd@é‰`Úÿ¬àÿ"
74. "gEunOAEy1LSconC", Hash=88.5333; Shift: 14; Result: "ŸQ]õ”PQ^L‘ÿ€õ–"
75. "PMMuv1", Hash=86.3333; Replacements: 18 (b-28 f-71 C-62 N-122 G-24 x-58 y-243 L-145 v-142 S-213 Q-240 7-146 W-10 K-187 5-85 9-129 2-50 o-133); Result: [80 77 77 117 142 49]
76. "Xqm9GEl1V", Hash=83.3333; Replacements: 1 (T-30); Result: [88 113 109 57 71 69 108 49 86]
77. "YexY7oMjHGMMU9nDU7q", Hash=85.1579; Replacements: 14 (u-180 z-11 E-59 f-77 q-236 b-188 t-53 6-64 D-16 N-97 e-148 T-165 L-109 r-57); Result: [89 148 120 89 55 111 77 106 72 71 77 77 85 57 110 16 85 55 236]
78. "JEG7bCoQ", Hash=78.25; Shift: 11; Result: "R*:π{ä"
79. "CmhZBdQHkYcLmnQBJ", Hash=88.2353; Replacements: 13 (H-5 J-j Y-8 F-w G-9 X-s k-f x-e 4-o T-J s-i  -U B-2); Result: "CmhZ2dQ5f8cLmnQ2j"
80. "EAzjvM84PzZKR", Hash=85.6923; Replacements: 9 (r-81 X-247 j-241 Q-239 L-118 4-164 q-167 0-122 l-79); Result: [69 65 122 241 118 77 56 164 80 122 90 75 82]
81. "OIsyhKCtc", Hash=94.3333; Replacements: 14 (5-178 w-40 l-240 J-213 3-206 n-131 z-36 M-76 D-193 v-244 7-154 L-2 T-171 g-231); Result: [79 73 115 121 104 75 67 116 99]
82. "3tvikKnCIy 1V5e k4", Hash=80.8333; Replacements: 1 (v-252); Result: [51 116 252 105 107 75 110 67 73 121 32 49 86 53 101 32 107 52]
83. "HamI4iN0XaUds6nj3x", Hash=86.6667; Shift: 18; Result: "!Öµ%–•9¿aÖUëÕÿπ©Ã·"
84. "lSoBV08c", Hash=82.125; Replacements: 2 (s-178 j-149); Result: [108 83 111 66 86 48 56 99]
85. "4X26tc sDwqQTtId746", Hash=80.0526; Replacements: 16 (i-167 J-138 5-229 3-170 Y-195 x-113 l-231 I-210 E-19 V-222 4-59 q-99 F-226 O-253 b-190 N-127); Result: [59 88 50 54 116 99 32 115 68 119 99 81 84 116 210 100 55 59 54]
86. "", Hash=0; Replacements: 3 (z-82 d-74 Q-59); Result: []
87. "vbnLy2a2hkE9Uh63", Hash=84.4375; Replacements: 7 (8-102 U-113 q-14 w-133 P-125 O-59  -26); Result: [118 98 110 76 121 50 97 50 104 107 69 57 113 104 54 51]
88. "RNlAspvlUr5", Hash=94.3636; Replacements: 13 (v-235 W-200 A-199 f-2 u-211 d-32 V-143 w-193 7-225  -224 8-212 2-33 L-82); Result: [82 78 108 199 115 112 235 108 85 114 53]
89. "QXNftTHxF3ZQXd4hG7PM", Hash=83; Shift: 12; Result: "Ö‰fGEÑád3•ÖFCÜts‘"
90. "Yi4B", Hash=78; Shift: 1; Result: "≤“hÑ"
91. "", Hash=0; Shift: 15; Result: ""
92. "Kf0UUHfvuqP", Hash=90.6364; Replacements: 3 (T-k i-I J-b); Result: "Kf0UUHfvuqP"
93. "FZ6BI7m", Hash=73.8571; Replacements: 17 (x-X M-n u-Z k-4 K-  p-m 9-T 5-1 L-9 I-G U-C q-R i-I W-d Y-2 P-F X-k); Result: "FZ6BG7m"
94. "U4wcg PNyd", Hash=86.9; Replacements: 16 (Y-43 d-209  -26 s-160 m-197 L-126 l-152 V-12 e-204 O-81 o-116 W-25 9-52 3-182 A-134 a-71); Result: [85 52 119 99 103 26 80 78 121 209]
95. "rQrt10 O", Hash=79.125; Replacements: 19 (O-58 z-24 F-6 V-216 l-53 N-25 T-232 B-250 a-236 U-135 E-16 5-5 H-14 8-245 t-214 b-88 g-237 h-163 2-137); Result: [114 81 114 214 49 48 32 58]
96. "K1Ytrn1dLU", Hash=86.3; Replacements: 10 (L-86 R-162 p-190 l-201 y-184 7-11 B-47 s-198 1-50 h-111); Result: [75 50 89 116 114 110 50 100 86 85]
97. "ECfmUxQDYWxJbSQs2fe", Hash=89.5263; Replacements: 16 (L-238 A-168 H-218 7-147 4-224 P-4 p-213 B-252 t-121 N-3 v-74 Q-153 o-206 y-251 6-69 z-67); Result: [69 67 102 109 85 120 153 68 89 87 120 74 98 83 153 115 50 102 101]
98. "WBSKeFrimYH", Hash=88.2727; Shift: 2; Result: "]	M-ï…•µe!"
99. "HAzKeEs", Hash=88.4286; Replacements: 8 (p-g d-V X-4 m-  0-5  -P L-n h-h); Result: "HAzKeEs"
100. "", Hash=0; Replacements: 19 (d-30 E-74 4-175 S-58 F-195 q-165 L-187 H-57 Z-83 A-84 a-255 M-206 r-11 1-151 3-235 0-97 K-239  -191 I-80); Result: []
101. "gbn", Hash=103.667; Shift: 11; Result: ";s"
102. "dWEw5pF6jbx", Hash=89.8182; Shift: 8; Result: "dWEw5pF6jbx"
103. "MybmKam6U8r7", Hash=87.5; Shift: 13; Result: "©/L≠i,≠∆™NÊ"
104. "rIFUk5I", Hash=82.1429; Replacements: 19 (q-126 9-80 b-224 X-160 4-208 o-213 k-150 1-209 a-6 r-122 5-107 u-155 x-253 0-251 z-96 v-254 t-117 y-46 i-162); Result: [122 73 70 85 150 107 73]
105. "rYA", Hash=89.3333; Shift: 5; Result: "N+("
106. "Dn1D QP8", Hash=68; Replacements: 20 (e-q y-9 T-F N-M G-1 V-3 X-j 2-v 9-g z-s a-Q 4-B o-6 W-N H-c 8-P A-2 c-y K-5 x-o); Result: "Dn1D QPP"
107. "8VQv9", Hash=79.6; Replacements: 8 (l-Q S-f G-L I-I k-2 C-t A-J K-k); Result: "8VQv9"
108. "qEjOr8M6uROAfeO", Hash=86.2; Shift: 17; Result: "‚ä‘û‰pölÍ§ûÇÃ û"
109. "Fxf", Hash=97.3333; Shift: 8; Result: "Fxf"
110. "k", Hash=107; Replacements: 16 (b-88 p-130 o-191 v-62 x-110 g-222 r-150 5-48 0-5 u-21 Y-233 4-249 e-255 t-211 q-213 n-244); Result: [107]
111. "Ox3cbXuxwy", Hash=101.2; Replacements: 12 (2-232 9-114 F-95 N-125 h-2 M-197 V-187  -31 5-15 7-91 O-254 3-138); Result: [254 120 138 99 98 88 117 120 119 121]
112. "TTuSiORm4Btaam", Hash=91.4286; Replacements: 7 (K-133 i-145 6-109 y-11 m-140 p-60 M-96); Result: [84 84 117 83 145 79 82 140 52 66 116 97 97 140]
113. "IshKD74yGPV", Hash=81.8182; Replacements: 9 (l-71 1-213 n-248 Y-165 y-206 e-183 x-169 8-126 o-141); Result: [73 115 104 75 68 55 52 206 71 80 86]
114. "1GmxZxIrH78iki8tl", Hash=89.7647; Replacements: 9 (E-183 H-16 F-50 w-220 Z-25 M-58 x-94 5-207 y-113); Result: [49 71 109 94 25 94 73 114 16 55 56 105 107 105 56 116 108]
115. "75MzLj5ffMgdA", Hash=83.9231; Replacements: 13 (j-141 W-44 p-33 a-191 B-114 n-122 z-231 c-111 1-70 y-115 Z-226 2-55 0-21); Result: [55 53 77 231 76 141 53 102 102 77 103 100 65]
116. "hSQkGv2zP", Hash=90.6667; Replacements: 14 (w-W x-v H-S K-K t-O z-w P-6 B-o 3-b s-T C-X i-x j-F F-Z); Result: "hSQkGv2w6"
117. "", Hash=0; Replacements: 20 (j-134 g-207 I-120 Q-201 z-247 5-188 n-84 P-55 b-77 1-125 O-10 x-143 V-48 m-64 M-9 D-119 v-244 i-204 4-58 d-43); Result: []
118. "64vo8tRyDAaxokvxfy", Hash=96.6111; Replacements: 0 (); Result: [54 52 118 111 56 116 82 121 68 65 97 120 111 107 118 120 102 121]
119. "3tSoGafVw0v", Hash=91.0909; Replacements: 7 (S-R g-Q 7-2 o-G H-O d-j s-F); Result: "3tRGGafVw0v"
120. "pOnHn8u", Hash=93.7143; Replacements: 9 (7-139 L-14 h-230 U-210 P-81 F-115 f-231 t-79 J-129); Result: [112 79 110 72 110 56 117]
121. "3kP5qKg0eTp8XZV3", Hash=81.125; Replacements: 2 (i-250 U-139); Result: [51 107 80 53 113 75 103 48 101 84 112 56 88 90 86 51]
122. "", Hash=0; Replacements: 13 (x-131 G-29 o-116 D-14 e-255 d-102 4-98 k-81 A-159 g-218 F-236 9-46 P-22); Result: []
123. "XYG3qskPX0", Hash=85; Shift: 17; Result: "∞≤éf‚Ê÷†∞`"
124. "V2aZkV5Wl1", Hash=81.3; Replacements: 7 (I-43 4-218 F-151 y-89 1-249 T-56 L-226); Result: [86 50 97 90 107 86 53 87 108 249]
125. "uHPOsV6", Hash=86.1429; Replacements: 16 (E-223 0-245 S-84 z-24 N-159 w-168 l-103 q-85 Y-198 K-35 x-206 n-199 m-93 Z-235 c-169 A-101); Result: [117 72 80 79 115 86 54]
126. "xQNQe", Hash=92.2; Replacements: 8 (u-106 3-209 Y-50 O-7 S-93 5-28 h-237 H-231); Result: [120 81 78 81 101]
127. "rDNVfrpUHeS3JTxQPKq", Hash=89.1053; Replacements: 18 (O-X 2-J B-M w-j u-N U-y K-f e-S S-Z D-1 i-U a-v T-A L-R y-b p-2 b-V g- ); Result: "r1NVfr2yHSZ3JAxQPfq"
128. "kc", Hash=103; Shift: 13; Result: "ml"
129. "yLlaa", Hash=99.8; Replacements: 17 (g-h J-  I-9 u-m p-z X-U i-p s-G k-a b-e n-u z-l D-d C-o A-y P-A o-c); Result: "yLlaa"
130. "BcDoM7", Hash=79.3333; Replacements: 18 (n-98 O-135 W-187 l-109 p-129 b-189 T-230 K-241 H-114 j-177 2-118 w-67 f-167 L-169 Z-65 4-206 i-82 U-47); Result: [66 99 68 111 77 55]
131. "hpJNQdrtbUhyOo2quy3a", Hash=96.3; Shift: 10; Result: "°¡)9Eë…—âU°Â=Ω»≈’ÂÃÖ"
132. "KrGYZiHN2XykZVgkvA", Hash=90.5; Shift: 4; Result: "¥'tï•ñÑ‰#Öó∂•ev∂g"
133. "I", Hash=73; Replacements: 8 ( -6 s-K z-1 t-Y l-h w-q g-j S-X); Result: "I"
134. "4wUegLZ", Hash=89.4286; Replacements: 20 (A-26 e-254 c-100 K-109 d-185 L-219 N-30 6-91 r-124 R-71 7-108 B-23 T-119 l-81 k-247 5-129 b-230 G-207 1-78 X-115); Result: [52 119 85 254 103 219 90]
135. "CK", Hash=71; Replacements: 11 (M-e w-P n-h B-f q-8 c-N s-W L-V 5-p Z-s m- ); Result: "CK"
136. "wtmwkKxxyVHcTvA", Hash=102; Replacements: 1 (g-C); Result: "wtmwkKxxyVHcTvA"
137. "J9CvQMfed55xSvKnu6eb", Hash=87.95; Replacements: 14 (p-o X-2 k-W 6-u U-z G-I M-X j-f Z-r m-a r-m L-G a-Y w-c); Result: "J9CvQXfed55xSvKnuueb"
138. "b95A3", Hash=64.8; Shift: 6; Result: "òNMPÃ"
139. "esXRVlS9 ga3c", Hash=84.7692; Replacements: 4 (z-48 i-255 E-153 R-46); Result: [101 115 88 46 86 108 83 57 32 103 97 51 99]
140. "OtxuKcbzMKK", Hash=95.7273; Shift: 14; Result: "”]“ÿòûS““"
141. "6Yas", Hash=88.75; Replacements: 11 (J-x y-Z o-7 Z-A j-C s-B v-q t-y N-w d-f 0-h); Result: "6YaB"
142. "NerO1eYNrmH9u", Hash=89.0769; Replacements: 3 (W-93 p-0 V-120); Result: [78 101 114 79 49 101 89 78 114 109 72 57 117]
143. "SeNEimSG2pAAP2ecQ12", Hash=79; Shift: 16; Result: "SeNEimSG2pAAP2ecQ12"
144. "UZpHLoEoyIb3n", Hash=90.6923; Replacements: 13 (D-A u-1 r-K 7-p M-v c-9 v-s E-C a-h 8-R 0-m i-T S- ); Result: "UZpHLoCoyIb3n"
145. "x", Hash=120; Replacements: 4 (n-158 F-227 G-207 a-247); Result: [120]
146. "nefEq6TqmdwlN8bW8L", Hash=90.7222; Replacements: 11 (A-c 2-K x-z m-y y-2 l-  R-D o-S W-P K-6 L-g); Result: "nefEq6Tqydw N8bP8g"
147. "kjRK BMIsx 55", Hash=76.2308; Replacements: 14 (g-P V-w 9-x n-y I-J l-5 D-E o-o h-1 8-4 z-f x-  J-O Y-c); Result: "kjRK BMJs  55"
148. "fa6xWw11t0sbb", Hash=88.6154; Replacements: 0 (); Result: [102 97 54 120 87 119 49 49 116 48 115 98 98]
149. "9WUJqAfa", Hash=85; Shift: 0; Result: "9WUJqAfa"
150. "BorN8oa", Hash=90.4286; Shift: 18; Result: "	Ω…9‡ΩÖ"
151. "", Hash=0; Replacements: 15 (X-k A-v w-Q M-i I-S u-t d-W n-6 i-u R-p B-g F-r K-7 T-C e-N); Result: ""
152. "r1sq", Hash=97.75; Replacements: 13 (H-U  -b 3-o e-R o-3 N-h j-2 7-D Y-y g-7 6-r u-G m-f); Result: "r1sq"
153. "F7mg", Hash=84.25; Replacements: 12 (T-t 0-0 V-h c-2 U-Y d-l A-3 z-z F-w B-r w-L s-1); Result: "w7mg"
154. "mMoIcBwY8tVD", Hash=89.0833; Replacements: 9 (j-M J-e H-W M-7 4-p u-u P-E 3-N R-n); Result: "m7oIcBwY8tVD"
155. "n6M", Hash=80.3333; Shift: 9; Result: "‹lö"
156. "npQqBmFzVs", Hash=98.4; Shift: 16; Result: "npQqBmFzVs"
157. "OB6IE00reUN6TJIsH", Hash=75.7059; Replacements: 0 (); Result: [79 66 54 73 69 48 48 114 101 85 78 54 84 74 73 115 72]
158. "cKTvBNVr5m1WCq", Hash=85.5714; Shift: 13; Result: "liäŒH… N¶≠&Íh."
159. "6QrhXO", Hash=86.6667; Replacements: 10 (X-36 z-122 E-206 y-123  -127 V-3 L-171 a-105 M-91 5-82); Result: [54 81 114 104 36 79]
160. "zKh47da27e", Hash=81.1; Replacements: 0 (); Result: [122 75 104 52 55 100 97 50 55 101]
161. "0H3NhX2ru795TAoOJ", Hash=76.4706; Replacements: 20 (b-139 6-163 X-207 C-25 8-195 i-202 Z-236 m-110 U-46 d-13 5-128 2-75 V-248 W-66 B-182 L-97 n-164 l-99 D-203 e-134); Result: [48 72 51 78 104 207 75 114 117 55 57 128 84 65 111 79 74]
162. "Vj", Hash=96; Replacements: 20 (2-9  -P P-p H-y s-m W-w j-R u-S k-E g-7 L-l v-N G-X A-i K-h i-g S-j X-3 6-1 R-F); Result: "VR"
163. "siCJL2Nlv0", Hash=83.9; Replacements: 10 (H-m z-w g-J 1-o p-C u-A T-V 5-l Q-L n-S); Result: "siCJL2Nlv0"
164. " cJpNbIvvK8XwsR8w", Hash=88.9412; Replacements: 8 (5-148 n-226 3-42 H-133 w-73 a-228 d-238 j-4); Result: [32 99 74 112 78 98 73 118 118 75 56 88 73 115 82 56 73]
165. "voidkEHN6AthKM", Hash=89.3571; Replacements: 4 (l-180 r-53 f-200 8-242); Result: [118 111 105 100 107 69 72 78 54 65 116 104 75 77]
166. "XfO6oqIRwW2W2WfBor", Hash=87.5; Replacements: 18 (X-186 b-147 z-8 t-36 3-21 2-108 p-175 Y-83 B-181 o-76 7-149 i-1 V-14 0-54 C-4 E-237 K-62 4-20); Result: [186 102 79 54 76 113 73 82 119 87 108 87 108 87 102 181 76 114]
167. "r0l50QwJsOc7P5i", Hash=82.0667; Replacements: 12 (M-98 n-222 c-21 e-0 5-53 W-22 4-163 X-240 j-12 m-128 0-217 D-139); Result: [114 217 108 53 217 81 119 74 115 79 21 55 80 53 105]
168. "l0JrgYfnk", Hash=95; Replacements: 12 (4-y v-H y-q X-g B-v x-2 3-u I-Z i-R 2-8 J-3 j-I); Result: "l03rgYfnk"
169. "edvefNPZ", Hash=96.25; Replacements: 1 (t-p); Result: "edvefNPZ"
170. "", Hash=0; Replacements: 17 (Y-113 6-165 3-17 v-58 Q-138 P-104 M-249 4-252 b-250 0-117 S-65 I-30 8-9 V-102 k-80 y-121  -56); Result: []
171. "7luw3 C0uvjMYjTld", Hash=88.3529; Replacements: 9 (P-z o-8 3-W L-6 w-D B-7 Y-I h-K 6-m); Result: "7luDW C0uvjMIjTld"
172. "PrpL", Hash=95.5; Replacements: 16 (S-68 t-19 N-143 Q-158 G-112 F-185 2-110 b-163 Z-49 m-252 w-178 O-197 6-193 4-66 s-199 g-47); Result: [80 114 112 76]
173. "tea9wvnvUBt", Hash=100.273; Shift: 17; Result: "Ë ¬rÓÏ‹Ï™ÑË"
174. "pvyQYPLBvxd8hkOA", Hash=93.25; Shift: 15; Result: "8;º®¨(&!;<24µß†"
175. "BtJ9vvK5MIkyNh08D", Hash=82.8824; Replacements: 9 (y-l 9-i A-W C-7 l-F s-j 7-b z-m 2-I); Result: "BtJivvK5MIklNh08D"
176. "kEAnibhk2", Hash=90.5556; Shift: 0; Result: "kEAnibhk2"
177. "iaHpBcp1bskxtQYezm", Hash=98.3333; Shift: 12; Result: "ñÑ$6&7∂áGïVß÷"
178. "oUtOtmtBbZvqP", Hash=99.7692; Shift: 10; Result: "ΩU—=—µ—	âiŸ≈A"
179. "VXHwBphl", Hash=94.375; Shift: 4; Result: "eÖÑw$Ü∆"
